loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,Income_to_Loan,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,loan_status1
1,2,Graduate,No,9600000,29900000,0.321070234,12,778,2400000,17600000,22700000,8000000,Approved,1
2,0,Not Graduate,Yes,4100000,12200000,0.336065574,8,417,2700000,2200000,8800000,3300000,Rejected,0
3,3,Graduate,No,9100000,29700000,0.306397306,20,506,7100000,4500000,33300000,12800000,Rejected,0
4,3,Graduate,No,8200000,30700000,0.267100977,8,467,18200000,3300000,23300000,7900000,Rejected,0
5,5,Not Graduate,Yes,9800000,24200000,0.404958678,20,382,12400000,8200000,29400000,5000000,Rejected,0
6,0,Graduate,Yes,4800000,13500000,0.355555556,10,319,6800000,8300000,13700000,5100000,Rejected,0
7,5,Graduate,No,8700000,33000000,0.263636364,4,678,22500000,14800000,29200000,4300000,Approved,1
8,2,Graduate,Yes,5700000,15000000,0.38,20,382,13200000,5700000,11800000,6000000,Rejected,0
9,0,Graduate,Yes,800000,2200000,0.363636364,20,782,1300000,800000,2800000,600000,Approved,1
10,5,Not Graduate,No,1100000,4300000,0.255813953,10,388,3200000,1400000,3300000,1600000,Rejected,0
11,4,Graduate,Yes,2900000,11200000,0.258928571,2,547,8100000,4700000,9500000,3100000,Approved,1
12,2,Not Graduate,Yes,6700000,22700000,0.295154185,18,538,15300000,5800000,20400000,6400000,Rejected,0
13,3,Not Graduate,Yes,5000000,11600000,0.431034483,16,311,6400000,9600000,14600000,4300000,Rejected,0
14,2,Graduate,Yes,9100000,31500000,0.288888889,14,679,10800000,16600000,20900000,5000000,Approved,1
15,1,Not Graduate,No,1900000,7400000,0.256756757,6,469,1900000,1200000,5900000,1900000,Rejected,0
16,5,Not Graduate,No,4700000,10700000,0.439252336,10,794,5700000,3900000,16400000,4400000,Approved,1
17,2,Graduate,Yes,500000,1600000,0.3125,4,663,1300000,100000,1300000,700000,Approved,1
18,4,Not Graduate,Yes,2900000,9400000,0.308510638,14,780,2900000,2800000,6700000,4300000,Approved,1
19,2,Graduate,No,2700000,10300000,0.262135922,10,736,1000000,0,6200000,3300000,Approved,1
20,5,Graduate,No,6300000,14600000,0.431506849,12,652,10300000,3500000,23500000,5900000,Approved,1
21,2,Graduate,No,5000000,19400000,0.257731959,12,315,9500000,1600000,18000000,6100000,Rejected,0
22,4,Graduate,No,5800000,14000000,0.414285714,16,530,3800000,11300000,22200000,5400000,Rejected,0
23,4,Graduate,Yes,6500000,25700000,0.252918288,18,311,13100000,1700000,19500000,8500000,Rejected,0
24,0,Not Graduate,Yes,500000,1400000,0.357142857,2,551,900000,600000,1100000,300000,Approved,1
25,0,Not Graduate,No,4900000,9800000,0.5,16,324,3800000,8700000,10000000,3300000,Rejected,0
26,5,Not Graduate,No,3100000,9500000,0.326315789,20,514,7900000,3100000,6600000,2600000,Rejected,0
27,4,Graduate,No,8200000,28100000,0.291814947,12,696,11500000,10600000,25300000,7200000,Approved,1
28,4,Not Graduate,Yes,2400000,5600000,0.428571429,4,662,4500000,4200000,5400000,2500000,Approved,1
29,5,Not Graduate,Yes,7000000,24000000,0.291666667,6,336,2300000,11900000,27500000,9700000,Rejected,0
30,3,Not Graduate,Yes,9000000,31500000,0.285714286,10,850,21800000,12400000,33700000,8000000,Approved,1
31,2,Not Graduate,No,9800000,25300000,0.387351779,12,313,20200000,5200000,25500000,9300000,Rejected,0
32,2,Graduate,No,5700000,12000000,0.475,6,363,3600000,7400000,21700000,4300000,Rejected,0
33,1,Not Graduate,Yes,800000,1600000,0.5,10,436,700000,200000,2200000,1000000,Rejected,0
34,5,Not Graduate,Yes,8400000,22000000,0.381818182,2,830,3800000,3900000,19900000,5400000,Approved,1
35,3,Graduate,No,4900000,11900000,0.411764706,8,612,9700000,1200000,19000000,5800000,Approved,1
36,2,Graduate,Yes,1700000,3400000,0.5,8,691,2700000,2800000,6000000,900000,Approved,1
37,3,Not Graduate,No,1600000,6200000,0.258064516,18,636,3400000,700000,5300000,1400000,Approved,1
38,5,Graduate,Yes,8000000,27200000,0.294117647,6,348,6400000,300000,16700000,7100000,Rejected,0
